,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ervid
5918,361.5773202,-0.105512236,0.17131418,-0.615899022,0.537961167,0.754024104,5918
5919,10.27987693,-0.147536254,0.364342679,-0.404938161,0.685522967,NA,5919
5921,1127.37948,-0.167692209,0.209756662,-0.799460706,0.424023322,0.648506258,5921
5922,76.10020641,-0.445903969,0.219759821,-2.029051389,0.042453056,NA,5922
5925,2.973099464,0.410065976,0.511441553,0.801784629,0.422677552,NA,5925
5924,5.932644206,0.699899788,0.393407091,1.779072631,0.075227855,NA,5924
5929,399.8555583,0.076712577,0.083866191,0.91470205,0.360348068,0.614363919,5929
5931,89.39258862,-0.260450395,0.302303097,-0.861553843,0.38893308,NA,5931
5934,1566.780544,-0.258036124,0.312577771,-0.825510156,0.409082019,0.644614091,5934
5937,15.94998162,0.682677023,0.551932601,1.23688476,0.216129869,NA,5937
5938,2.037122377,-0.84004156,0.540304751,-1.554755086,0.12000441,NA,5938
5939,4.502607493,-0.437401511,0.486097003,-0.899823509,0.368214181,NA,5939
5940,3.540879032,-0.537278674,0.481392961,-1.11609167,0.264382898,NA,5940
5943,4.932137805,-0.588131557,0.41395346,-1.420767342,0.155384408,NA,5943
5944,6.431325977,-0.076876637,0.294728488,-0.260838841,0.79421679,NA,5944
5945,11.32427734,-1.045813625,0.506545923,-2.064597854,0.038961067,NA,5945
5946,2.839150688,-1.393710257,0.579435241,-2.405290804,0.016159601,NA,5946
5947,1496.380424,-0.024853668,0.127923593,-0.194285256,0.84595253,0.935961605,5947
5952,200.7941672,0.267799299,0.219571453,1.219645338,0.222599352,0.440958715,5952
5951,7.818998807,-0.291203843,0.337968375,-0.861630451,0.388890908,NA,5951
5953,14.55128806,-0.142802823,0.240878038,-0.592842853,0.553286326,NA,5953
5954,27.37806358,-0.09555999,0.238480434,-0.400703692,0.688638293,NA,5954
5955,47.7011702,-0.58651668,0.255433855,-2.296158746,0.021666806,NA,5955
ERVW-8,415.5169377,0.100230302,0.107676028,0.930850654,0.351930823,0.604971993,ERVW-8
5959,14.67766638,-0.335734494,0.224242945,-1.497190884,0.134343597,NA,5959
5961,19.222208,-0.335531971,0.312350324,-1.074216817,0.282725517,NA,5961
W-71,4.317893426,-0.343045197,0.428676402,-0.800242782,0.423570147,NA,W-71
5965,4.274235518,-0.278992201,0.396816245,-0.703076562,0.482008038,NA,5965
5966,7.00641876,0.110622359,0.319934041,0.345766142,0.729518472,NA,5966
5970,219.8631289,-0.325808264,0.17328241,-1.880215446,0.060078721,0.227206801,5970
5973,4.815558832,0.297631244,0.405484206,0.734014394,0.462939965,NA,5973
5972,432.4740987,0.107533054,0.11337374,0.9484829,0.342883674,0.601068944,5972
5975,6.042549176,0.804541736,0.361156929,2.22767908,0.025901923,NA,5975
5977,10.3356607,-1.08235833,0.460875411,-2.348483571,0.018850031,NA,5977
5978,1.192350358,-0.881322697,0.590239828,-1.493160331,0.135395223,NA,5978
5980,24.64775119,0.198735851,0.355031904,0.559768992,0.575637017,NA,5980
5981,12.94965474,0.051711043,0.479533844,0.107836065,0.914125734,NA,5981
5983,3.023426442,0.340652977,0.513298938,0.663654163,0.506911683,NA,5983
5985,3.89902811,-0.86900618,0.510370218,-1.702697667,0.088624662,NA,5985
5986,8.660404138,0.475475953,0.77550316,0.613119298,0.539797461,NA,5986
5987,0.99519182,1.191273114,0.696004767,1.711587578,0.086972699,NA,5987
5988,1.765088045,-0.188443042,0.643565878,-0.292810804,0.76966677,NA,5988
5991,9.096352433,-1.06962459,0.459043668,-2.330115117,0.019800068,NA,5991
5992,1.249818653,-0.492015255,0.726993611,-0.676780714,0.498545096,NA,5992
5994,1.310697525,-0.3838573,0.697505852,-0.550328429,0.582094128,NA,5994
5993,1.145799895,0.024638192,0.717534958,0.03433727,0.972608205,NA,5993
5996,1.877690427,0.354116711,0.812509806,0.435830692,0.662959574,NA,5996
5997,0.689378596,0.836916092,0.756063975,1.106938196,0.26832065,NA,5997
5998,0.999186498,1.059175063,0.750587881,1.411127318,0.158207076,NA,5998
5999,0.713275699,0.733363683,1.015481797,0.722182993,0.470181978,NA,5999
6005,4.178387819,-0.397728197,0.355056394,-1.12018317,0.262635714,NA,6005
6007,549.155147,0.015000257,0.320553298,0.046794892,0.9626767,0.977482591,6007
6009,30.36457381,0.042620224,0.25395726,0.167824397,0.866721429,NA,6009
6011,5.007449334,0.953286472,0.340241241,2.801795779,0.005081903,NA,6011
6013,120.7620308,0.258685382,0.296176631,0.873415911,0.382436422,0.626352565,6013
6015,31.23765377,-0.299326885,0.235608374,-1.27044247,0.203927063,NA,6015
6016,50.19845266,0.093290358,0.267097979,0.349273918,0.726883677,NA,6016
6022,25.85260385,0.370220233,0.324817346,1.139779748,0.254378073,NA,6022
6024,3.991796082,-0.151265397,0.493528331,-0.306497899,0.759225579,NA,6024
6025,4.989930397,-0.041417608,0.351078118,-0.117972628,0.906089346,NA,6025
6026,4.813225545,-0.062108702,0.327950087,-0.189384619,0.849791378,NA,6026
6028,7.854724174,-0.212259047,0.39692024,-0.534764988,0.592812377,NA,6028
6029,1.380770108,0.521930141,0.54242159,0.962222284,0.335937958,NA,6029
6033,779.1695511,0.500463546,0.191548296,2.612727733,0.008982283,0.111391364,6033
6032,514.2980632,0.38456502,0.182118631,2.111618222,0.034719208,0.168116081,6032
6034,228.7471217,-0.211896174,0.360477641,-0.587820576,0.556652732,0.756756655,6034
6035,168.5587449,-0.575081813,0.39183493,-1.467663473,0.142195657,0.332322435,6035
6036,5.221627273,0.263344313,0.419772102,0.627350679,0.53042939,NA,6036
6056,59.20888008,-0.190570418,0.23978112,-0.794768237,0.426748331,NA,6056
6062,2514.4692,-0.164615507,0.127966165,-1.286398691,0.198303955,0.407448001,6062
