"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ervid"
"5803",43.041319740531,-0.463574932091487,0.408394162345358,-1.13511645080633,0.256326529665105,0.489350647542474,"5803"
"5804",876.948641565371,0.156226141881731,0.224093882923854,0.697145945455439,0.485711463177121,0.704500410554203,"5804"
"5807",6.92763442081023,0.53585871876706,0.431976446419907,1.2404813345915,0.214797413854364,NA,"5807"
"5808",6.80590256228699,0.373925776315739,0.31906032817516,1.17195948005939,0.24121332471519,NA,"5808"
"5811",3.48423087854487,-0.515385930249633,0.577001993574553,-0.893213430783478,0.371742886969568,NA,"5811"
"5812",2.65603817233036,-0.684400510643656,0.665601487999372,-1.02824366078386,0.30383522532716,NA,"5812"
"5814",79.238483313745,0.00356802085386519,0.200933295087952,0.0177572405424566,0.985832516480143,0.992908204061224,"5814"
"5815",26.0437213183645,0.00333089305744742,0.220483974093332,0.0151071889516896,0.987946665663099,0.992908204061224,"5815"
"5816",34.2178760807495,0.226356981008624,0.20793635349917,1.08858781641339,0.276335691907363,0.515328722746163,"5816"
"5818",4.90191607562062,-0.0174625605610354,0.392169253177023,-0.044528122537829,0.964483435659719,NA,"5818"
"K-31",4.01787784828207,-0.382907345812913,0.455390717950402,-0.840832565793792,0.400441740434725,NA,"K-31"
"K-32",5.74661784870532,0.126895970598793,0.467566682122267,0.271396520433871,0.786086077947148,NA,"K-32"
"5829",14.7760798641396,-0.0484236648274861,0.287684235773749,-0.168322274236706,0.866329751550793,0.955695994446098,"5829"
"5830",28.9999873145978,0.0145003364611369,0.241826196982628,0.0599618099364913,0.952186051189739,0.990485214167917,"5830"
"5833",905.115188886354,0.288661377000838,0.0837845665340461,3.44528102181611,0.000570465973287934,0.00950120914131283,"5833"
"5835",111.512253983914,-0.3887807372715,0.231007167365223,-1.68298127588758,0.092378716197909,0.253516590474944,"5835"
"5836",17.7521540389254,0.00662338812593168,0.273546373934658,0.0242130357301457,0.980682680170244,0.992908204061224,"5836"
"5837",14.3001341266891,-0.0923966550450746,0.281364731746116,-0.328387479381911,0.742618708589583,0.882451195934609,"5837"
"5839",12.9546048285226,-0.219437763282766,0.288188078947019,-0.761439418606583,0.446394650620297,NA,"5839"
"5838",13.0926433310689,-0.200715353581143,0.31189324638283,-0.643538633519422,0.519874654825989,NA,"5838"
"5840",46.0933511128696,-0.0340282885418604,0.262375702225092,-0.129692987015496,0.896809331255751,0.966197069460478,"5840"
"5841",41.2981885339855,-0.228573913725543,0.29585975182239,-0.77257522294807,0.439773812682827,0.66879644494384,"5841"
"5842",24.613473589382,0.272262712885509,0.209585937582757,1.29905048032148,0.193926605760743,0.407245872097561,"5842"
"5843",741.199227450585,0.441354689710128,0.226496473588829,1.94861616482092,0.0513412802338349,0.178401714769369,"5843"
"5846",5.73864103449255,0.147497944875778,0.448532043098095,0.328845947899244,0.742272131320642,NA,"5846"
"5847",5.81620157259812,-0.65716664716026,0.447850019587353,-1.46738108388556,0.142272417339607,NA,"5847"
"5848",31.417141751758,-0.280916659167398,0.201765799144113,-1.39229076661675,0.163834366410921,0.373287853277079,"5848"
"5850",80.894588597854,-0.175642171670543,0.188201768714532,-0.933265254998535,0.35068302983809,0.576122120448291,"5850"
"5852",26.0269356793835,-0.0600857576735575,0.271616746019248,-0.221215217964873,0.824924860550384,0.92660164568799,"5852"
"5855",15.4573085084223,-0.0297914244296278,0.295892480717862,-0.10068327642984,0.919801887381206,0.974742476398467,"5855"
"5856",36.2842119708818,0.662666592276783,0.2978406492768,2.2249031281856,0.0260877419854494,0.117200961589025,"5856"
"5858",95.4490460361046,0.658828537038475,0.25740251213518,2.559526445851,0.0104814880632219,0.0662554814518976,"5858"
"5860",101.709575758154,-0.280913362787837,0.172735912148995,-1.62625917965184,0.103894531570331,0.272723145372119,"5860"
"5861",1025.8045413106,0.120845340474309,0.0803605223915372,1.5037898818716,0.132635477253463,0.319250196373963,"5861"
"5862",77.0961108286062,-0.456535605134037,0.230145637207699,-1.98368133618813,0.0472913754753238,0.167953929077804,"5862"
"5863",77.2932641398065,-0.107088703339052,0.252072651381252,-0.424832693083725,0.67095864309747,0.841257647030942,"5863"
"5867",482.149350339761,0.436315958868339,0.16380179698151,2.66368237045402,0.00772905039665047,0.057432789870495,"5867"
"5870",29.2673769928232,-0.435573118355513,0.305450527710241,-1.42600217986433,0.1538677128328,0.357298583164628,"5870"
"5871",118.403523045931,0.0878952769680268,0.197242176563062,0.4456211064976,0.655870961711265,0.831730635254899,"5871"
"5872",118.543966474223,-0.0473978365768643,0.144068209152087,-0.328995805915989,0.742158858135845,0.882451195934609,"5872"
"5874",29.9842369431686,-0.195637613725904,0.242961623287036,-0.805220228113049,0.420692605559475,0.659193727727723,"5874"
"5875",32.7620092610899,0.815730146810261,0.257383610061906,3.16931659562184,0.00152797857387549,0.0189234269533811,"5875"
"5876",301.145682538532,0.231835019581396,0.149843101208394,1.54718514040211,0.121818608099105,0.304862112496724,"5876"
"5878",27.5546875800829,0.190424212169524,0.339882135355396,0.560265434281824,0.575298400667527,0.780531257085437,"5878"
"5881",109.576422954022,-1.11120952376503,0.280314442813897,-3.96415365762217,7.3656799204712e-05,0.00237174893439173,"5881"
